gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,costat,ggroup,gind,gsector,gsubind
001919,20130630,2013,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20140630,2014,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20150630,2015,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20160630,2016,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001919,20170630,2017,INDL,C,D,STD,USD,A,4520,452030,45,45203030
001920,20001231,2000,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20011231,2001,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20021231,2002,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20031231,2003,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20041231,2004,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20051231,2005,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20061231,2006,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20071231,2007,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20081231,2008,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20091231,2009,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20101231,2010,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20111231,2011,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20121231,2012,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20131231,2013,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20141231,2014,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20151231,2015,INDL,C,D,STD,USD,I,3030,303020,30,30302010
001920,20161231,2016,INDL,C,D,STD,USD,I,3030,303020,30,30302010
003170,20001231,2000,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20011231,2001,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20021231,2002,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20031231,2003,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20041231,2004,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20051231,2005,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20061231,2006,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20071231,2007,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20081231,2008,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20091231,2009,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20101231,2010,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20111231,2011,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20121231,2012,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20131231,2013,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20141231,2014,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20151231,2015,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003170,20161231,2016,INDL,C,D,STD,USD,A,3030,303010,30,30301010
003226,20001231,2000,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20011231,2001,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20021231,2002,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20031231,2003,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20041231,2004,INDL,C,D,STD,USD,A,5020,502010,50,50201030
003226,20051231,2005,INDL,C,D,STD,USD,A,5020,502010,50,50201030
